Date,Close,High,Low,Open,Volume
3/16/2001,14.16393948,14.67170375,13.95548937,14.32428555,8455500
3/19/2001,14.09979725,14.27083432,14.00893422,14.02496923,4393500
3/20/2001,13.77376747,14.15325378,13.73100844,14.11049474,4981800
3/21/2001,13.70962811,13.9448033,13.53859197,13.68290409,6182500
3/22/2001,13.4210043,13.61876444,13.29807119,13.4423833,7568600
3/23/2001,13.36220455,13.54393062,13.22858251,13.4958266,5210200
3/26/2001,13.5225563,13.62410939,13.22858809,13.36221019,5164300
3/27/2001,13.53858948,13.68290157,13.39427738,13.52255446,5708700
3/28/2001,13.51186752,13.63479961,13.3622104,13.51186752,4168800
3/29/2001,14.15859509,14.42049423,13.41031166,13.49582971,5678900
3/30/2001,14.19066429,14.21738932,13.64014198,13.70962501,5845400
4/2/2001,14.23876572,14.56480385,14.05703964,14.05703964,4560200
4/3/2001,13.7844553,14.20135557,13.69359224,14.19066556,5562400
4/4/2001,13.94480133,13.94480133,13.57065907,13.86997329,5456000
4/5/2001,13.896698,14.18532222,13.74704088,14.07307912,4362000
4/6/2001,14.03031826,14.03031826,13.7630741,14.01428324,3312400
4/9/2001,14.26549625,14.39911836,13.86462994,13.86997494,3673600
4/10/2001,14.43118191,14.628943,14.21738682,14.29221485,3751400
4/11/2001,14.28687,14.56480412,14.19600696,14.34566403,3405000
4/12/2001,14.37239075,14.44721981,14.12652661,14.13187161,2872800
4/16/2001,14.54877377,14.58618881,14.3082546,14.40446267,2444300
4/17/2001,14.52204132,14.59152432,14.37772929,14.44186831,2844000
4/18/2001,14.69308376,14.93894892,14.35635657,14.4044606,4294700
4/19/2001,14.68239498,14.91222514,14.27083972,14.69308499,4907300
4/20/2001,14.47928619,14.68239127,14.2761801,14.56480423,4010000
4/23/2001,14.40980721,14.56480934,14.32428914,14.46860126,3437600
4/24/2001,14.34566879,14.57015396,14.31359977,14.54342893,5059300
4/25/2001,14.43118191,14.45256193,14.22807683,14.44187192,4285700
4/26/2001,14.44187069,14.53273372,14.26548963,14.35635266,3033100
